item_id,text,category,sub-category
164,LRT Battle is lostmove on to fight other battles another day city and province and federal are now aboard the subway train don't waste leftist energy fighting futile causeslick your leftist wounds and get over it,random,random
165,"No, I am saying PINK people like yourself still think you are better than blacks and other races... your are damn wrong.",random,random
166,"In 20 years we can all end our comments, if comments still exist that is, with 'Allah is watching'. Cool, huh?",random,random
167,I can't believe this absolute nonsense from this newspaper.,random,random
168,WARD NEEDS ANOTHER DRINK,random,random
169,LOL the writer 'admires' these things about Canada.. but has chosen to live in the USA and continues to live there.. for 'some reason'even with the 'promising' PM Photo- OP..when she does not have to live with the consequences..,random,random
170,Rhodes scholars were chosen because their parents were well connected; go back through 50 years of Canadians who were chosen and then check their parentage.,random,random
171,Utter tosh.,random,random
172,"I didn't realize that the conservatives lost the election on purpose. Thanks for that- I guess it explains the lack of a coherent plan, and so forth.",random,random
173,"It's not calling a spade a spade that's wrong, it's putting huge numbers of very different groups under your spade that is the problem. And if you discard an argument as hooey you make a display of yourself as blind and deaf.",random,random
174,NDP thinks big with national daycare plan.... Didn't Jack Layton and the NDP vote along side with stephen harper against this national daycare program when proposed by Paul Martin and the Liberals ???,random,random
175,I don't think the journalists really care one way or another. A more accurate description is most Canadians are left wing and thus a PM who was popular here would probably liked by the New York Times not Wall Street Journal.,random,random
176,What is the G&M's motive behind displaying 10 comments at a time? To inflate number of hits and extract more money from advertisers.,random,random
177,He wouldn't have to outlaw common sense as you already have none,random,random
178,"I fart whenever I want........just cannot control it.....When you say, Wynn I fart....when I read Wynn, I fart, When I see Wynn on the TV, I fart",random,random
179,But it will be turned inside-out to please a few zionist financiers.,random,random
180,Boule sheet.,random,random
181,And aren't you just salivating at the idea of getting some kid of revenge. I invite any race or culture that has never 'sinned' to throw the first stone...,random,random
182,"Natives don't need 'accountability.' Show us the money 'Apparently that is NOT what the bands' auditors had to say, but I guess they must be wrong and racist as well?",random,random
183,imagine actually being religious in 2019...did your parents not let you go to science class?,random,random
184,Trump supporters are the sorest winners around. This is what happens when you are the President elect and President. All your actions are held to account on a daily basis.,random,random
185,Who says it's impossible and when did your PM even TRY?????,random,random
186,"Yup, and the Iraq people asked the Western Political society to use false premises and invade them. It has worked out quite well for them. Only 250, 000 Iraqi civilians have died post invasion. I guess this is 'public interest'",random,random
187,"Aren't marriages arranged by the parents, since it is forbidden and considered sinful for single women to talk to single men outside the family?",random,random
188,"A white supremacist symbol has been showing up all over the world for many years now, on walls, tables and especially school books. How can this epidemic be stopped?",random,random
189,"The West tolerates China because they are the manufacturer of the world, like they tolerate Saudi Arabia because that country has oil.",random,random
190,Is that marijuana on your breath? Your fired.,random,random
191,Gawwwwwwd seeeees alllllllll,random,random
192,Progressives are guided by hatered.,random,random
193,"Elect either of the other two nanny-state, tax & spend jokers and, trust me, the economy under the Tories will seem like economic Nirvana! Lol",random,random
194,Somebody voted me down but provided no clue as to what Juneau said that Canada should have done. This column is an empty opinion piece to dump on the Liberals with no value added.,random,random
195,"Wait, Harris had an idea? What was it? This should be good.",random,random
196,Well then that drops Kenny from your list of future PMs. But I bet you didn't realize that now did you?,random,random
197,"It is to right wing fanatics. Adam and Even, tree of knowledge, original sin. It all makes perfect sense.",random,random
198,My how you add to the discussion.,random,random
199,"Shhh, Liberals need no encouragement to print money. Wynne doesn't have her own printing presses that's why she's electing Trudeau, he's got the presses.",random,random
200,Wente shows naked opportunism. I don't know if she's noticed but all political parties seize opportunities when they come around.,random,random
201,"The CBC is nothing more than a taxpayer funded mouthpiece for the left. Without taxpayer money, the CBC would be gone in a month.",random,random
202,Never. Progressives have a double standard.,random,random
203,Really - someone pays you to post this drivel or do you sit around all day waiting for inspiration? BTW - it's kumbaya and it means Come By Here (Lord). That song really should be right up your alley as you and Steve hold hands and sway.,random,random
204,Who is this woman and why is she in G&M debate? Didn't we move on from State religion vs Secularism like a hundred years back? She likes state religion - let her move to Saudi Arabia...,random,random
205,My favourite Republican quote of the past week: 'Democrats haven't been this angry... Since we freed their slaves ',random,random
206,Columbine was actually a failed bomb attack. Interesting that almost nobody knows that.,random,random
207,"copper5 - if you see this as 'done' now you are very, very naive.",random,random
208,"Underlying racist assertion: First Nations history, culture, and philosophy are of no value.",random,random
209,OH! What a marvellous idea!! All we'd have to do is firmly and strictly declare something like a War on Drugs.......Wait…,random,random
210,"Ah, death threats, huh? Where? I'm not able to scrape up a whole lot of sympathy for an entitled frat boy's poor choices.",random,random
211,"The last thing we need is a national daycare program. Children raised and indoctrinated to behave as state approved, politically correct, liberal robots? Isn't the traditional family unit damaged enough already?",random,random
212,Popular? What is this.. 8th grade?,random,random
213,it was sad of harper to leave in the middle of a furneral just to make a stupid statement. maggie was glad to see him depart.,random,random
214,"Not to mention being able to spell a little better, too: 'dilema'??",random,random
215,"Is America better off and the planet safer?'Only a hack would offer up this question, as though some doubt might exist about the answer.",random,random
216,I strongly suggest you fire this editorial writer - he has no grasp of reality. See other comments for WHY!,random,random
217,For Canada?s foreign-policy elite....'Nice of you to put the straw man of your argument in your first sentence.,random,random
218,Try telling that to RMiller. Not that it will help the poor fellow.,random,random
219,Gee no hacks here...,random,random
220,"The kids weren't allowed to speak their own language, much less harvest their traditional foods. Good grief, pick up a book, Bozo.",random,random
221,"Those cities you mentioned have high paying jobs in industries like banking and law. Vancouver has developers, realtors, and baristas.",random,random
222,"Yes, he basically said that ordaining homosexuals gave rise to child diddlers.",random,random
223,"Its easy, the climate policy of BO is a complete FAIL. He does make Al Gore rich though.",random,random
224,"Fine, let's see referendums across Russia. Maybe the Chechens would like out after the treatment they have received?",random,random
225,Another 'No Brainer' moment for the Harperoids.,random,random
226,andrea... what is your point ??,random,random
227,What nonsense.,random,random
228,"Get the right team behind you, the answer is, Yeah, you can. ""teamwork"": it'll be nice to have a country governed by that again.",random,random
229,Typical Harper Hate Machine fear mongering.,random,random
230,Care to back that up with a credible link?,random,random
231,And that you mention Vietnam and the Phillipines in your list tells me you need to brush up'Not then. Now.,random,random
232,Orange wave is doable. People don't buy the alarmist fear mongering about the NDP anymore,random,random
233,We haven't had that big earthquake yet. And the proposed new KM isn't a 'twinning' as for the most part it's taking a different route. More PR BS.,random,random
234,I wonder how many of the people voting you down also demand we should be more like some Scandinavian country at every possibility. Like all those people who think a Carbon Tax is a great idea as long as they don't have to pay it,random,random
235,"Why should someone have to pledge allegiance to the welfare queen, she doesn't even live in Canada",random,random
235,"Why should someone have to pledge allegiance to the welfare queen, she doesn't even live in Canada",moral,loyalty
236,"Good, timely open protest of federal government policy. Conservative supporters will unfortunately condemn the message as anti-Semitic rather than a legitimate cry for peace.",random,random
237,"30,000 guns deaths per year (2/3 are suicides), yet no reason to change? Tell that to the parents of the kids at Sandy Hook. I dare you.",random,random
238,Hilarious. Obviously written by someone who doesn't live in Polak's ridiing. She's a right winger through and through.,random,random
239,So now the american majority are 'facists' who have lost their way? Does democracy mean anything to you? Please remove this author and her negativity from this paper.,random,random
240,"Taxrage 2 hours ago If you have a $150K family income, why should you compete for a daycare space for a low-income single parent? ------ reminds me of JACK AND OLIVIA competing for co-op housing till they were exposed and run away in shame",random,random
241,"Not even close. Trudeau cleaned house when he took the reins. A foolish move by any measure, but for this one.",random,random
242,60 years of involvement and the politicians are all the same. The task of a new government is to find new ways of interfering in our lives. We are now a fascist country. Anybody want evidence?,random,random
243,A slang word blacks use to refer to police is racist if uttered by anyone except a black person and for their exclusive use? Seriously?,random,random
244,"So, as long as Ms. Wente disagrees with the MP(s) being muzzled, then its okay. Like any of those anti-abortion legislation would have had a hope in hell of passing in the House, anyway.",random,random
245,Who suggested that prospective immigrants do NOT have the right to opinions about Canada?,random,random
246,Is this the plank or pillar of his platform? Way to get going Justin. Double dipping makes more sense if you are stoned however we are no oreo cookies. I'd rather vote for Big Bird.,random,random
247,Not only knew the game but tried to fix the outcome with the help of the MSM. It's the best measure of just how much Americans hate the Clinton mob,random,random
248,"Killed by people who were safe where they were, but preferred risking the lives of their children out of greed.",random,random
249,Why is it that so many religious people can't distinguish between what's their business and what's someone else's?,random,random
250,Certainly explains his one and only policy idea of legalizing or de-criminalizing pot... I'm sure he has others but probably can't remember them.,random,random
251,Is this reheated leftover some sort of bellwether piece the Globe is floating to gauge their readers' interest in examining the 'Ford Fenomena'?It's no big mystery to anyone paying attention and it's been done to death,random,random
252, . . . there will be tens of thousands of Canadians if not more who will identify with him. And they will vote for him in droves again and again.'You mean if you're nuts you'll vote Liberal?,random,random
253,"Well KaelThas, good parents don't fight over their children. If you spent a fortune feeding some venal lawyer, you have only yourself to blame.",random,random
254,Politicians who speak of needed revenue from casinos are the vilest of spineless creatures.,random,random
255,Add Justin Trudeau to your 'doofus spawn' list.,random,random
256,So you have no problem with government employees advertizing thier faith in public? then you should have no problem with one proudly displaying a swastika while on duty either.,random,random
257,"Any Canadian journalist or other critter who uses the suffix 'gate' to describe a Canadian scandal, is a sheep-like dunce.",random,random
258,"How, exactly, are you impacted if new Canadians swear their loyalty to Canada rather than to the British monarch?",random,random
259,Yes it was funny but of course Canadians do not have a sense of humour. No wonder the Quebecois call us square heads.,random,random
260,That would be hypocritical! Harper put us another 170 billion in the hole.,random,random
261,You are out of touch with what most Canadians think. You speak only for yourself.,random,random
262,"But the Oil Sands are not ignorant and washed up, like Neil Young himself...",random,random
263,"Oh, I see now. The people passionately arguing FOR allowing the wearing of the niqab in Canadian society are in fact passionately trying to protect the constitution. I see that their intent is pure, and there is no other vested interests lurking.",random,random
264,How do you spell exploitation? This is a disgusting practice that sanctions abuses of fundamental rights and human decency. We cannot continue to condone it.,random,random
265,The Liberals were hypocritical in their decision making. You think their supporters would be outraged!,random,random
266,"Thanks for the belly laugh, festina!",random,random
267,"To voters that care about actual matters, like trade or not starting WWIII, being a ""misogynistic bigot"" is somewhere near the bottom of the list.",random,random
268,Now go write a post about the medical experiments and sexual abuse that Canadians subjected its minorities to. Or do you have too much invested in trying to keep it quiet from the rest of the world.,random,random
269,"Huh? Where did this wing-nut Gray come from? the Athabasca has pulp and paper mills, coal mines, and naturally occurring bitumen deposits that it flows over. The lies are in his column.",random,random
270,"You keep patting yourself on the back, confident that you're so much more, '. . . thoughtful, more unselfish, and more empathetic than are conservatives.'",random,random
271,girl'?'peggy'?Sexist enough Philly? Maybe we do need a woman in the White House,random,random
272,"Brown, a pitiful case in point.",random,random
273,"The post-truth posters didn't disagree with your post, FH. I there a hidden code word ?",random,random
274,He is as useless as teats on a bull.,random,random
275,Question: does this pointless wandering originate from Poloz or from the G&M editorial board ?,random,random
276,And you are wearing yesterdays underwear? Yikes! Probably Depends.,random,random
277,Yah and while he is at it let's stop the Catholic Church from discriminating against women once and for all!,random,random
278,"Perhaps she gets away with it because her view is correct? In m opinion it is, so chew on that for a while. And while you are at it stop inflicting your own 'twisted and warped opinion of morality' on us.",random,random
279,The most dangerous terrorist state is USA. Iran has not invaded anybody in my lifetime,random,random
280,"Excellent, this is whats needed for all FN persons. The same right I enjoy on my land.",random,random
281,"As a lifetime New Democrat, the day my party crawls into bed with the Liberals, is the day I'll tear up my membership card.",random,random
282,Nonsense. The same circular logic could apply to the other parties.,random,random
283,The idea that solar farms will deprive us of farmland is stupidity.,random,random
284,"Yep, there is no middle ground with Wynne liberals, you are either for them or in the ""dark ages,"" because they can do no wrong. And if monkeys had wings they'd fly out my butt.",random,random
285,Worse - Cruz,random,random
286,"Islamophobia is no match for Islam's Christaeophobia, Judeaophobia, Buddheaophobia, homophobia, gynophobia, and xenophobia.",random,random
287,[brigade of Nazi Re-education Specialists] You are fulfilling Godwin's Law and I claim my five dollars.,random,random
288,Ha! Juniors first visit to parliament this year ended up with him asking questions about tricycles. I can't thank you enough liberals for not giving conservatives Garneau.,random,random
289,"So, do you carshare? I've noticed a distinct tendency for green advocates to want everyone else to change so they can keep doing what they want to do.",random,random
290,"Interesting reasoning. No doubt you feel we should apply it in cases of human suffering as well. When disasters strike, when famines hit, when wars are afoot... if there's too many victims to treat them all humanely, we should euthanize them. Right?",random,random
291,The Syrians fleeing to Europe are mostly pretty well educated. They were middle class in Syria and many of them speak more than one language.,random,random
292,"fuck this man to hell and back, with a rancid cactus puncturing his ass along the way",random,random
293,"the experiment is almost over, americans do not want another corrupt liberal government",random,random
294,A blue wall ?How about Trump finally has to face some educated voters ?,random,random
295,don't like Canada and it's tradition and laws. Lots of other countries to move to and mooch off the social security teat.,random,random
296,That depends on when the next suitable gender feminist martyr episode arrives.,random,random
297,The electorate of Minnesota elected Jesse 'The Body' Ventura as Governor of their fine state.,random,random
298,Tea party lover. Huh.,random,random
299,"Anyone who has ever driven through, for example, Utica NY will understand why Trump succeeded.'Potholes???",random,random
300,iski99: The statement you quote is quite stunning and it's even more startling that about one-third of Canadians don't appear troubled by this at all. You have to wonder how much more of this government Canadians can tolerate.,random,random
301,"Kind of like this forum, right? All I see is endless outrage here.",random,random
302,"You tell those Russians Globe and Mail, you tell them......LOL",random,random
303,You're likely right... but will there be any evidence?,random,random
